explain,org,service
,기타,식품원료데이터베이스 (식약처)
특정 서지의 상세정보를 조회한다.,국회 국회도서관,상세정보조회서비스
한국문집총간 정편 65집 한음문고(이덕형),한국고전번역원,한국문집총간 한음문고
한국문집총간 정편 65집 노계집(박인로),한국고전번역원,한국문집총간 노계집
한국문집총간 정편 65집 선원유고(김상용),한국고전번역원,한국문집총간 선원유고
,기타,어린이 보건 정보 (보건복지부)
정류소에 대한 정보 제공,서울특별시,정류소정보조회 서비스
특정 정류소에 대한 버스 도착예정 정보 제공,서울특별시,버스도착정보조회 서비스
"정류소와 노선번호을 기준으로 첫번째/두번째 도착예정 버스의 위치정보와 도착예정시간, 빈자리, 저상버스 정보를 제공하는 버스도착정보조회 서비스",경기도,버스 도착 정보 조회 서비스
"해당 노선의 운행차량에 대한 현재 위치(정류소)와 막차, 저상버스 여부 등에 대한 실시간 운행정보를 제공한다.",경기도,버스 위치 정보 조회 서비스
실시간 버스위치 정보 제공,서울특별시,버스위치정보조회 서비스
노선에 대한 정보 제공,서울특별시,노선정보조회 서비스
법제처의 국가법령정보통합관리시스템에서는 OPEN API서비스를 통해 국가법령정보센터의 모든 법령정보를 원하는 유형으로 활용하실수 있습니다.,법제처,법제처 국가법령정보 공유서비스
"의약품 정보(품목명, 효능효과, 용법용량, 사용상의 주의사항) 및 회수·판매중지정보(업체명, 품목명, 회수사유, 제조일자 , 회수명령일자) 를 조회하는 서비스",식품의약품안전처,의약품 검색 서비스
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스",국토교통부,연립다세대 매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 매매 자료(단독다가구, 면적등)를 제공하는 단독다가구 매매 신고 조회 서비스",국토교통부,단독/다가구 매매 실거래 자료
유물 및 소장품 현황(2014년 11월 기준),제주국제자유도시개발센터,유물 및 소장품 현황(2014년 11월 기준)
행정청 근로복지공단의 고용산재보험 관련 행정처분에 대한 행정심판 청구내용 및 재결정보(2011년7월부터 2015년6월),근로복지공단,고용산재보험 행정심판 재결정보(2011년~2015년)
2014년 산재보험 심사청구에 대한 심사결정 사례집(2015년 발간),근로복지공단,2014년 산재 심사결정 사례집
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"TM 좌표기반으로 가까운 측정소 정보를 제공하고, 측정소 상세정보 및 읍면동 이름으로 TM 기준좌표 내역을 제공하는 측정소정보 조회 서비스",한국환경공단,측정소정보 조회 서비스
역사관련 사이트 메타데이터 기반 통합 검색을 위하여 한국역사정보통합시스템이 제공 중인 역사 자료 메타데이터 중 한국 역사 연구 자료,교육부 국사편찬위원회,한국역사자료 메타데이터 - 한국 역사 연구 자료
"관광 지명, 음식명, 주요 시설 명 등 관광안내 번역에 필요한 외국어(영, 일, 중) 표기 검색 지원",한국관광공사,관광용어 외국어 용례사전
파생결합증권정보서비스,한국예탁결제원,파생결합증권정보서비스
,기타,전국 근로복지공단 지사 찾기 서비스 (근로복지공단)
2014년 산재보험 심사청구에 대한 심사결정 사례집(2015년 발간),근로복지공단,2014년 산재 심사결정 사례집
고용/산재보험 현황정보,근로복지공단,고용/산재보험 현황정보
모집병 중 맞춤형특기병의 군사특기별 모집인원수와 선발인원수를 조회하는 정보를 제공하고자 하는 서비스임,병무청,맞춤형특기병 모집 선발인원 조회
,기타,"공공데이터,통계자료 등(시각화)"
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스",국토교통부,연립다세대 매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 매매 자료(단독다가구, 면적등)를 제공하는 단독다가구 매매 신고 조회 서비스",국토교통부,단독/다가구 매매 실거래 자료
,기타,한국표준질병사인분류 (통계청)
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 전월세 자료(아파트, 면적, 지번 등)를 제공하는 아파트 전월세 신고 조회서비스",국토교통부,아파트 전월세 자료
,기타,TourAPI (한국관광공사)
"실시간 경매 속보 정보를 조회하기 위한 서비스로서 품목과 도매시장 별로 조회할 수 있으며 품목 분류 체계항목, 도매시장항목,도매법인 항목에 따라 조회할 수 있다.",농림수산식품교육문화정보원,실시간경매속보서비스
"경락가격정보를 조회하기 위한 서비스로서 농산물, 축산물, 수산물, 화훼류, 산지공판장, 종합유통센터별로 조회할 수 있다.",농림수산식품교육문화정보원,경락가격정보서비스
건강보험심사평가원에서 관리하는 질병 정보를 조회하는 서비스입니다.,건강보험심사평가원,질병정보서비스
국토지리정보원 및 브이월드에서 제작된 영상지도,국토교통부,브이월드 제공 위성영상지도
,기타,CCTV 정보 (광주광역시)
"정류소명, ARS번호, 위치정보 등의 정류소정보조회와 버스종류, 첫차/막차 시간 등의 노선정보조회, 특정노선의 버스위치, 차량번호 등의 노선정류소조회, 특정정류소를 경유하는 노선의 남은 도착시간 및 정류소 수, 차량번호 등의 정류소별 실시간버스위치, 특정 정류소 및 노선의 남은 도착시간 및 정류소 수, 차량번호 등을 제공하는 부산시 시내버스 운행정보 서비스",부산광역시,부산시 시내버스 운행정보 서비스
국문 여객편 운항 현황-도착 조회,인천국제공항공사,[인천공항] 여객편 도착현황 (국문)
"공시목록(증권신고서, 사업보고서, 주요사항보고서 등 11개 분야 70개 항목)",금융감독원,금감원_공시목록정보
"파출소, 우체국, 보건소, 읍면동사무소 등 1만여개의 일선행정기관의 주소와 전화번호입니다.",행정안전부,일선행정기관 주소와 전화번호 (2016년 3월 31일 기준)
경상북도 시군구별 지역축제·행사,경상북도,경상북도 시군구별 지역축제·행사(2015년)
"경북관내 우수(으뜸)한 음식점 및 식품에 대한 다양한 정보를 제공하는 서비스로서 업소명,주메뉴,소재지,전화번호 등 정보를 조회하는 서비스",경상북도,으뜸음식점 정보조회 서비스
"전국에서 거래되는 농산물, 수산물, 축산물 중 국민들의 삶에 영향을 미치는 주요 품목들에 대하여 한국농수산식품유통공사, 농업협동조합중앙회, 수산업협동조합중앙회 및 축산물품질평가원에 소속된 조사원들이 조사한 가격 정보와 거래되는 상품들의 상세 정보 도매가격과 소매가격이 포함되어 있음",농림수산식품교육문화정보원,농수축산물 품목별 상세조사가격 서비스
"경기도 수원시 문화축제정보(축제명, 개최장소, 축제내용 등) 제공",경기도 수원시,경기도 수원시_문화축제_20150819
동물을 진료하거나 동물의 질병을 예방하는 진료기관,행정안전부,동물병원(수시)
"물품, 용역, 외자, 공사 업무별로 나라장터에 공개된 사전규격정보를 제공하는 서비스로 업무별 사전규격 전체목록 및 기관별, 품목별로 사전규격을 조회할 수 있으며 사전규격등록번호, 품명(사업명), 배정예산액, 관련규격서파일, 규격서 의견 등을 제공",조달청,나라장터 사전규격정보서비스
"나라장터에 등록된 조달업체와 수요기관에 대한 정보를 제공하는 서비스로 조달업체정보에는 사업자등록번호, 업체명, 업체주소, 업체의 등록업종정보, 업체의 공급물품정보가 포함되며 수요기관정보에는 수요기관코드(행자부코드가 기본으로 제공되며 행자부코드가 없을 경우 나라장터 수요기관코드가 제공됨), 소관구분, 주소, 최상위기관코드, 최상위기관명 등이 포함됨",조달청,나라장터 사용자정보서비스
"방위사업청 국방전자조달시스템(http://www.d2b.go.kr)에서 제공하는 국내/국외/시설공사의 입찰결과정보(공고번호, 입찰명, 발주기관, 입찰결과)를 Open API로 제공",방위사업청,군수품조달정보 입찰결과서비스
"나라장터에서 체결된 계약정보목록을 물품, 외자, 공사, 용역의각 업무별로 제공하는 서비스로, 각 업무별 계약상세정보, 계약변경이력정보, 계약삭제이력정보를 제공. 또한, 나라장터 검색조건인 계약체결일자, 확정계약번호, 요청번호, 공고번호, 기관명(계약기관, 수요기관), 품명, 계약방법, 계약참조번호에 따른 계약현황정보를 제공",조달청,나라장터 계약정보서비스
"조달청의 나라장터에서 제공하는 물품, 용역, 공사, 외자 입찰공고목록, 입찰공고상세정보, 기초금액정보, 면허제한정보, 참가가능지역정보, 입찰공고 변경이력를 제공하며 나라장터 입찰공고 검색조건으로도 업무별 입찰공고 정보를 제공하는 서비스",조달청,나라장터 입찰공고정보서비스
"나라장터 개찰결과를 물품, 공사, 용역, 외자의 업무별로 제공하는 서비스로 각 업무별로 최종낙찰자, 개찰순위, 복수예비가 및 예비가격 정보를 제공하며 개찰완료목록, 재입찰목록, 유찰목록 또한 제공",조달청,나라장터 낙찰정보서비스
"누리장터에 등록된 민간입찰공고정보를 제공하는 서비스로 용역, 물품, 공사, 기타 업무로 구분하여 입찰공고번호, 게시일시, 공고명, 입찰방식명, 개찰일시, 기준금액, 공고규격서, 아파트정보 등의 정보를 제공",조달청,누리장터 민간입찰공고서비스
"조달청의 나라장터에서 제공하는 물품, 용역, 공사, 외자 입찰공고목록, 입찰공고상세정보, 기초금액정보, 면허제한정보, 참가가능지역정보, 입찰공고 변경이력를 제공하며 나라장터 입찰공고 검색조건으로도 업무별 입찰공고 정보를 제공하는 서비스",조달청,나라장터 입찰공고정보서비스
(국민연금가입수급정보) 사업장 정보조회 제공,국민연금공단,사업장 정보조회 서비스
광주광역시의 향토자료로 구별로 전해 내려오는 동물설화,광주광역시,광주광역시 향토자료(동물설화)
광주광역시의 향토자료로 일반설화,광주광역시,광주광역시 향토자료(일반설화)
"서울시 소재 장애인 복지관, 재활체육시설, 거주시설, 수화통역센터, 직업재활시설 등 장애인복지시설에 대하여 시설명칭, 소재지, 연락처, 설립목적, 시설내 프로그램 등의 정보를 제공합니다.",서울특별시,서울시 장애인시설 현황 (좌표계: WTM) (수시)
생필품가격정보,한국소비자원,생필품가격정보 조회 서비스
"TM 좌표기반으로 가까운 측정소 정보를 제공하고, 측정소 상세정보 및 읍면동 이름으로 TM 기준좌표 내역을 제공하는 측정소정보 조회 서비스",한국환경공단,측정소정보 조회 서비스
"미세먼지 및 오존 등의 측정소별/시도별 실시간 대기오염 측정정보와 통합대기환경지수가 나쁨 이상 측정소 내역, 대기질(미세먼지/오존) 예보 통보 내역 등을 제공하는 대기오염정보 조회 서비스",한국환경공단,대기오염정보 조회 서비스
"인물문, 동물문, 식물문, 인공물문, 자연산수문, 문자문, 기하문, 복합문, 기타문",한국문화정보원,"문화디자인문양(2D, 3D)_인물문, 동물문, 식물문, 인공물문, 자연산수문, 문자문, 기하문, 복합문, 기타문(묶음)"
"인물문, 동물문, 식물문, 인공물문, 자연산수문, 문자문, 기하문, 복합문, 기타문(묶음)을 2D, 3D형태 이미지로 제작",한국문화정보원,"제품 적용 가능 활용문양(2D, 3D)_인물문, 동물문, 식물문, 인공물문, 자연산수문, 문자문, 기하문, 복합문, 기타문(묶음)"
한국의문양조회서비스,한국문화정보원,한국의문양조회서비스
"건축물대장에서 관리하고 있는 총괄표제부, 표제부, 층별개요, 부속지번, 전유공용면적, 오수정화시설, 주택가격, 전유부, 지역지구구역 등 정보를 제공한다.",국토교통부,건축물대장정보 서비스
jplaw@jplaws.com,한국석유공사,주유소 판매가격(지역상표별)
"전국 주유소의 판매가격을 판매형태별(셀프/비셀프, 직영/자영, 마트/비마트)로 산술평균한 가격",한국석유공사,주유소 판매가격(형태별)
"전국의 모든 주유소에서 카드단말기를 통한 자동보고, ARS 및 전화조사원을 통한 보고 또는 직접 보고한 가격을 산술 평균",한국석유공사,주유소 판매가격(제품별)
문화재지역별서비스,문화재청,문화재지역별서비스
특정 정류소에 대한 버스 도착예정 정보 제공,서울특별시,버스도착정보조회 서비스
실시간 버스위치 정보 제공,서울특별시,버스위치정보조회 서비스
노선에 대한 정보 제공,서울특별시,노선정보조회 서비스
정류소에 대한 정보 제공,서울특별시,정류소정보조회 서비스
한국의문양조회서비스,한국문화정보원,한국의문양조회서비스
"화학물질 배출량, 이동량 정보를 제공한다.",환경부 국립환경과학원,화학물질 배출 ? 이동량 정보
,기타,위해식품정보(식약처)
식품첨가물의 기준규격 정보 및 홍보 자료,식품의약품안전처,식품첨가물 기준 규격 정보
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스",국토교통부,연립다세대 매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 전월세 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 전월세 신고 조회 서비스",국토교통부,연립다세대 전월세 자료
"건축물대장에서 관리하고 있는 총괄표제부, 표제부, 층별개요, 부속지번, 전유공용면적, 오수정화시설, 주택가격, 전유부, 지역지구구역 등 정보를 제공한다.",국토교통부,건축물대장정보 서비스
각 노선의 실시간 버스정보위치 정보를 조회할 수 있다.,경기도 군포시,군포시 실시간버스정보 제공서비스
"식품의 영양성분 함량 정보(열량, 탄수화물, 단백질, 지방, 비타민, 무기질 등)를 조회하는 서비스",식품의약품안전처,식품 영양성분 함량정보 서비스
거제시 거제 8미 전문음식점 정보를 실시간으로 제공한다.,경상남도 거제시,거제8미 전문 음식점 정보 서비스
"나라장터 개찰결과, 최종낙찰자 정보를 조회 할 수 있는 서비스이다.",조달청,낙찰정보
"나라장터 조달청계약요청 및 진행현황, 계약현황 정보를 조회 할 수 있는 서비스이다.",조달청,계약정보
나라장터 사전규격공개 정보를 조회 할 수 있는 서비스이다.,조달청,사전규격정보
나라장터 공고현황 정보를 조회 할 수 있는 서비스이다.,조달청,입찰공고정보
"학교정보공시의 수업시수, 시설현황, 교원현황, 졸업생 진로 현황 등 10개 항목을 전국 단위학교의 집합데이터 파일로 다운로드 받을 수 있습니다.",한국교육학술정보원,초중등학교 정보공시 항목별 통계자료(수시)
,기타,서울시 정보 (서울 열린데이터 광장)
"전국 및 지방자치단체 시내버스의 실시간 위치정보를 버스 노선별, 노선 정류소별로 조회한다.
시내버스 정류장정보, 노선정보, 도착예정정보, 노선운행정보, 위치정보 테이블에 실시간 정보로 제공된다.",국토교통부,버스위치정보조회서비스
,기타,"인구, 가구소득, 유동인구 (통계청)"
,기타,교통정보 (서울 열린데이터 광장)
"전국 발달된 1,200대 주요상권에 대한 상권번호, 상권명, 좌표 정보를 제공",중소벤처기업부,"전국 1,200대 주요상권DB(2015년)"
,기타,지역별 유동인구 DB
"소통정보(원활,지체,정체) 국토부 표준링크 1레벨 기준 전국 210,000여건",경찰청,경찰청 교통소통정보
"교통돌발(사고,공사,행사) 일 300여건",경찰청,utis교통돌발정보
"전국 교통정보CCTV영상 전국 1,800여 지점",경찰청,UTIS교통CCTV영상정보
,기타,특허데이터(특허청)
"나라장터 개찰결과, 최종낙찰자 정보를 조회 할 수 있는 서비스이다.",조달청,낙찰정보
나라장터 공고현황 정보를 조회 할 수 있는 서비스이다.,조달청,입찰공고정보
건강보험심사평가원에서 관리하는 질병 정보를 조회하는 서비스입니다.,건강보험심사평가원,질병정보서비스
,기타,업체/제품 정보(식품안전정보포털)
,기타,"건강검진정보(국민건강보험공단), 인구분포(통계청)"
"광도, 가격대, 물주기 등의 조건별 실내정원용 식물정보를 제공",농촌진흥청,실내정원용 식물 목록 및 상세 정보
동물보호관리시스템의 유기동물 정보를 조회할 수 있다.,농림축산식품부 농림축산검역본부,동물보호관리시스템 유기동물 조회 서비스
"부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 전월세 자료(단독다가구, 면적등)를 제공하는 단독다가구 전월세 신고 조회 서비스",국토교통부,단독/다가구 전월세 자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 매매 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 매매 신고 조회 서비스",국토교통부,연립다세대 매매 실거래자료
"부동산 거래신고에 관한 법률에 따라 신고된 연립다세대 전월세 자료(연립다세데, 면적, 지번 등)를 제공하는 연립다세대 전월세 신고 조회 서비스",국토교통부,연립다세대 전월세 자료
"부동산 거래신고에 관한 법률에 따라 신고된 단독다가구 매매 자료(단독다가구, 면적등)를 제공하는 단독다가구 매매 신고 조회 서비스",국토교통부,단독/다가구 매매 실거래 자료
,기타,버스위치정보조회/버스도착정보조회/정류소정보조회 서비스
재난 및 안전사고 예방요령 동영상,행정안전부,재난 및 안전사고 예방요령(2015)
,기타,체험프로그램(한국농어촌공사)
"종목명, 종목번호, 기준일 등을 기준으로 주식기본정보, 상장정보, 주식관련사채 행사조건정보 등을 조회하는 주식정보 서비스",한국예탁결제원,주식정보서비스
,기타,기업 실적정보(금융감독원)
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
한국문화정보센터의 예술지식 디렉토리의 축제문화정보 목록 및 축제의 상세정보를 제공한다. 축제문화정보 목록 및 상세정보를 조회하기 위해서는 예술지식 카테고리정보 서비스를 이용하여 축제문화정보 카테고리정보를 먼저 조회하고 이를 파라메터로 전달하여 축제문화정보 목록 및 상세정보를 조회할 수 있다.,한국문화정보원,예술지식 축제문화정보 서비스
공연전시정보조회서비스,한국문화정보원,공연전시정보조회서비스
국가건강검진기관별 상세정보를 확인 할 수 있는 서비스,국민건강보험공단,검진기관별 정보제공 서비스
국가건강검진기관을 검색 할 수 있는 서비스,국민건강보험공단,검진기관 찾기 서비스
"건설업체 등록, 변경, 양도, 합병, 상속, 행정처분등의 정보를 제공합니다.",국토교통부,키스콘 건설업체정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 영문으로 제공한다.",한국관광공사,영문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 중문 번체로 제공한다.",한국관광공사,중문 번체 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 일문으로 제공한다.",한국관광공사,일문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 중문 간체로 제공한다.",한국관광공사,중문 간체 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
건강보험심사평가원에서 관리하는 의료기관별 상세정보를 조회하는 서비스입니다.,건강보험심사평가원,의료기관별상세정보서비스
"전국 유치원, 초등학교, 중학교, 고등학교 대학교 현황(학교, 학교, 시설 현황)과 관련한 통계자료",교육부,유·초·중등 및 고등교육기관 현황
"학교정보공시의 수업시수, 시설현황, 교원현황, 졸업생 진로 현황 등 10개 항목을 전국 단위학교의 집합데이터 파일로 다운로드 받을 수 있습니다.",한국교육학술정보원,초중등학교 정보공시 항목별 통계자료(수시)
,기타,2015 학교생활기록부 기재요령(교육부)
"전국 병의원, 약국의 주소, 전화번호, 홈페이지, 입원실, 수술실, 종사자, 장비, 구분코드 등의 정보",건강보험심사평가원,전국 병의원 및 약국 데이터셋(2015)
,기타,임신/출산 정부 지원 정책(임신육아종합포털 ‘아이사랑’)
문화재지역별서비스,문화재청,문화재지역별서비스
문화재시대별서비스,문화재청,문화재시대별서비스
문화재통계서비스,문화재청,문화재통계서비스
문화정보조회서비스,한국문화정보원,문화정보조회서비스
"한국민속신앙사전의 분야별 표제어의 목록과 표제어 상세정보를 조회하기 위한 서비스로서, 무속·마을·가정신앙의 분야별로 표제어목록을 조회 할 수 있으며, 표제어별 주요정보·컨텐츠목록·참고문헌목록·사진목록·음원목록을 제공한다.",문화체육관광부 국립민속박물관,한국민속신앙사전서비스
"한국세시풍속사전의 항목별 표제어의 목록과 표제어 상세정보를 조회하기 위한 서비스로서, 월별·계절별·분야별로 표제어목록을 조회 할 수 있으며, 표제어별 주요정보·컨텐츠목록·참고문헌목록·사진목록·음원목록을 제공한다.",문화체육관광부 국립민속박물관,한국세시풍속사전서비스
동물보호관리시스템의 유기동물 정보를 조회할 수 있다.,농림축산식품부 농림축산검역본부,동물보호관리시스템 유기동물 조회 서비스
반려동물 등록대행업체 조회 정보를 조회할 수 있다.,농림축산식품부 농림축산검역본부,반려동물 등록대행업체 조회 서비스
국토지리정보원 및 브이월드에서 제작된 영상지도,국토교통부,브이월드 제공 위성영상지도
여권 분실 등 해외 여행 중 도움이 필요한 경우 해외 국가의 현지 대사관 연락처 등 연락처 목록 및 상세정보 조회가 가능하다.,외교부,현지 연락처
"취업희망자가 지방자치단체 채용담당자가 나라일터에 등록한 공공취업정보 정보를 조회할 수 있는 서비스입니다.
채용직급, 공공취업정보, 채용기관 등에 대한 정보 검색이 가능합니다.",인사혁신처,공공취업정보 조회 서비스
고흥(발포) 조위관측소에서 관측한 일별 실시간 조위자료,해양수산부 국립해양조사원,고흥(발포) 조위관측소 조위자료(1일)
거제도 조위관측소에서 실시간으로 관측한 조위자료,해양수산부 국립해양조사원,거제도 조위관측소 조위자료
전산화된 지적도 및 임야도의 도면상 경계점을 연결하여 연속된 형태로 작성한 도면정보(측량자료로 사용하지 못하는 참조용 도면정보),국토교통부,연속지적도형정보조회서비스
"국민에게 혜택을 제공하는 정부 각 부처 및 지방자치단체, 공공기관의 공공서비스 정보",행정안전부,대한민국 공공서비스
"토지대장과 임야대장에 등록된 소유자 개인정보를 제외한 토지의 소재, 지번, 지목, 면적 등 토지(임야)정보",국토교통부,토지임야정보조회서비스
,기타,역사 및 문명 정보 (유네스코한국위원회)
서울시 구별 경찰관서 현황(2016.4.30기준),경찰청 서울특별시지방경찰청,서울시 구별 경찰관서 현황(2016.4.30기준)
등산로 위치 정보,산림청,등산로 위치 정보 조회
"전기자동차 보급 활성화 및 전기자동차 사용자를 위한 전국 급속충전기 운영현황 실시간 제공(충전소명, 위치, 상태정보, 운영시간)",한국환경공단,전기자동차 공공충전소 현황
인천공항 여객 항공기 출발 / 도착 정보 현황조회(다국어),인천국제공항공사,[인천공항] 여객편 운항현황 (다국어)
"공간영상정보의 지도에 대한 정보(지도확대.축소정보조회, 지도이동정보조회, 사용자레이어중첩정보조회, 제작시기범례정보조회, 시대기반항공사진이미지정보조회, 시대기반위성사진이미지정보조회, 시대기반정사영상이미지정보조회)를 제공한다.",국토교통부 국토지리정보원,국토지리정보원 지도서비스
,기타,투어API (한국관광공사)
,기타,식품위해정보 (식품의약품안전처)
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
,기타,심야버스 정보 (서울시 교통정보센터 TOPIS)
"전국 어린이집 정보(어린이집유형, 정원수 등)를 제공합니다.",공공데이터활용지원센터,전국어린이집표준데이터
"국립공원,도립공원,산,해안절경,해수욕장 등의 관광장소 정보",한국관광공사,국문관광정보LOD
,기타,강원도 축제 정보
,기타,"지적 데이터, 공시지가 (브이월드)"
"영암군 전기차 충전소 안내(위치, 이용가능시간, 주차가능여부 등)",전라남도 영암군,전라남도 영암군_전기차충전소_201509
2015년 포천시시설관리공단에서 운영 중인 전기차충전소 현황입니다.,포천시시설관리공단,경기도_포천시시설관리공단_전기차충전소_20151001
소상공인 창업 기초자료로써 상가정보 활용성을 확대하고자 상가업소 정보를 제공합니다.,소상공인시장진흥공단,소상공인 상가업소 정보 서비스
동물보호관리시스템의 유기동물 정보를 조회할 수 있다.,농림축산식품부 농림축산검역본부,동물보호관리시스템 유기동물 조회 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 국문으로 제공한다.",한국관광공사,국문 관광정보 서비스
"기준년월,수출입구분명,수출입품목명 을 기준으로 매달 해외로 수출하는 수산물 및 수입하는 수산물에 대해 품목(어종)별로 중량 및 금액등에 대한 정보를 제공하기 위한 수산물 품목별 수출입 현황 서비스(매월 관세청에서 데이터를 연계받아 제공하는 정보임)",해양수산부,수산물 품목별 수출입 현황
장기요양기관 시설별 상세조회 서비스,국민건강보험공단,장기요양기관 시설별 상세조회 서비스
고속도로 안전주행 정보를 조회한다.,한국도로공사,안전주행 컨텐츠 정보
,기타,교통정보 (국가교통정보센터)
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행된 조교검사에 출전한 검사마의 주행심사 세부결과 정보",한국마사회,주행심사결과 조회 서비스
"한국마사회가 운영하는 서울경마공원, 제주경마공원, 부산경마공원에서 금주 시행예정인 경주에 출전하기로 예정된 출주마의 출주번호, 기승기수 등의 세부정보",한국마사회,출전표 조회 서비스
,기타,"""다자녀 우대카드"" 서비스 안내 (대한민국 정부포털)"
"관광지 정보,교과서속 으뜸 관광지, 이달의 추천 관광지, 영화드라마 촬영지, 추천코스, 산소길에 대한 정보를 제공",강원도,강원도 관광지 정보서비스
"인물문, 동물문, 식물문, 인공물문, 자연산수문, 문자문, 기하문, 복합문, 기타문",한국문화정보원,"문화디자인문양(2D, 3D)_인물문, 동물문, 식물문, 인공물문, 자연산수문, 문자문, 기하문, 복합문, 기타문(묶음)"
학원 및 교습소 주소 및 전화번호,서울특별시교육청,학원 및 교습소 정보
경기도교육청 관할 학원 및 교습소 정보현황('13.12.04.기준),경기도교육청,경기도 학원 및 교습소 정보('13.12.04 기준)
,기타,유치원 정보 (교육부)
"부동산 거래신고에 관한 법률에 따라 신고된 아파트 매매 자료(아파트, 면적, 지번등)를 제공하는 아파트 매매 신고 조회 서비스",국토교통부,아파트매매 실거래자료
농업기술 동영상,농촌진흥청,농업기술 동영상
주간농사정보 서비스,농촌진흥청,주간농사정보 조회 서비스
,기타,자가진단정보 (농촌진흥청)
,기타,금융상품 통합 비교공시시스템 (금융감독원)
,기타,서지정보유통지원시스템 (국립중앙도서관)
특정 정류소에 대한 버스 도착예정 정보 제공,서울특별시,버스도착정보조회 서비스
실시간 버스위치 정보 제공,서울특별시,버스위치정보조회 서비스
정류소에 대한 정보 제공,서울특별시,정류소정보조회 서비스
"정류소와 노선번호을 기준으로 첫번째/두번째 도착예정 버스의 위치정보와 도착예정시간, 빈자리, 저상버스 정보를 제공하는 버스도착정보조회 서비스",경기도,버스 도착 정보 조회 서비스
"해당 노선의 운행차량에 대한 현재 위치(정류소)와 막차, 저상버스 여부 등에 대한 실시간 운행정보를 제공한다.",경기도,버스 위치 정보 조회 서비스
"관광 지명, 음식명, 주요 시설 명 등 관광안내 번역에 필요한 외국어(영, 일, 중) 표기 검색 지원",한국관광공사,관광용어 외국어 용례사전
,기타,TourAPI 3.0 (한국관광공사)
"코드조회 및 관광정보의 통합/상세 검색 및 위치기반,지역기반 등 국내 관광에 대한 전반적인 정보를 중문 간체로 제공한다.",한국관광공사,중문 간체 관광정보 서비스
"건축물대장에서 관리하고 있는 총괄표제부, 표제부, 층별개요, 부속지번, 전유공용면적, 오수정화시설, 주택가격, 전유부, 지역지구구역 등 정보를 제공한다.",국토교통부,건축물대장정보 서비스
