착한가격업소,"평균가격 이하로 서비스하는 착한가격업소 정보(업소명, 지역, 업소분류, 대표품목, 대표자, 소재지 정보)",2016-09-13,2017-09-18,정보통신과,043-220-2674,['착한가격업소']
공공기관연계자료 서비스,행정/공공에만 제공되는 정보를 조회하기 위한 서비스,2013-12-05,2016-05-17,대기측정망팀,032-590-3506,"['batch 시간자료 조회', '이상측정소 조회', '측정소별 측정자료별 오염도 및 메시지 조회', '측정소 비공개 정보 조회']"
한국문학 작가 정보,한국문학 번역출간도서정보,2017-04-13,2017-04-13,정보관리팀,02-6919-7783,[]
균류자원 서비스,"균류자원의 항목별 정보 및 상세정보를 조회할수 있는 서비스로서 균류도감, 지의류표본, 균류 모양과 색으로 찾기 서비스 정보등을 조회할수있다.",2016-03-18,2017-12-18,연구기획팀,031-540-1086,"['지의류도감정보 검색', '지의류도감정보 조회']"
이천시 기업현황,이천시 주요 기업체 정보,2016-06-28,2016-06-29,정보통신과,031-644-2946,['기업현황자료']
문학속한국방언단일조회,국립국어원에서 제공하는 재미있는 문학 속 한국 방언 내용을 21세기 세종계획의 연구 결과물을 반영하여 제작함. 문학속 한국 방언 목록 및 벙언의 상세 내용을 조회할 수 있다.,2013-11-21,2017-11-17,언어정보과,02-2669-9759,"['문학속한국방언 단일조회', '문학속한국방언 목록조회']"
경기도 장애인복지 관련 현황,"경기도내 장애인 복지관, 의료재활시설, 보호시설 및 요양시설등의 현황 정보를 제공합니다.",2018-03-29,2018-04-04,빅데이터담당관,031-8008-2895,[]
ICT통계간행물메타정보,ICT분야 관련 각종 지표 및 핵심통계를 체계적으로 조사 정리한 간행물 자료를 제공하는 서비스로 통계간행물에 대한 간략정보 및 상세정보를 제공한다.,2013-12-18,2015-01-27,,,"['통계간행물 정보 조회', '통계간행물 정보 상세 조회']"
민방위 대피시설현황,광명시 관내 민방위 대피시설 자료,2016-06-21,2016-06-21,정보통신과,02-2680-6301,['민방위 대피시설 현황']
한국시설안전공단 공공시설물 점검진단 실시 정보,시설물 유형별 공공시설물(공동주택 제외)의 점검진단 실시 정보 제공,2017-12-28,2017-12-29,운영지원실,031-910-4022,"['건축시설물 점검진단실시정보', '하천시설물 점검진단실시정보', '교량시설물 점검진단실시정보', '복개구조물 점검진단실시정보', '댐시설물 점검진단실시정보', '펌프장 점검진단실시정보', '방조제시설물 점검진단실시정보', '하구둑시설물 점검진단실시정보', '제방시설물 점검진단실시정보', '방파제시설물 점검진단실시정보', '갑문시설물 점검진단실시정보', '계류시설물 점검진단실시정보', '옹벽시설물 점검진단 실시정보', '절토사면시설물 점검진단 실시정보', '하수처리시설물 점검진단 실시정보', '터널시설물 점검진단 실시정보', '공동구시설물 점검진단 실시정보', '지하차도시설물 점검진단 실시정보', '수문시설물 점검진단 실시정보', '상수도시설물 점검진단 실시정보']"
문화예술 관련 정보,인천광역시 문화예술행사 정보,2014-12-15,2014-12-16,정보화통계담당관,032-440-4045,[]
[디자인] 디자인 공보-도면/전문,디자인 공보에 대한 도면/전문 제공,2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['정정공고', '모든 전문 및 육면도 유무', '공고책자', '공개책자', '디자인 육면도', '공고전문', '공개전문']"
서귀포시 보건소현황,"서귀포시 서귀포보건소, 동부보건소, 서부보건소에서 알려드리는 보건소 소식입니다.",2014-02-24,2017-12-06,,,"['서귀포시 보건소 새소식(공지사항)', '서귀포시 보건소 새소식 상세정보']"
한국환경산업기술원_환경표지구매실적조회관련 정보,"환경표지 구매에 대한 친환경실적(약 8,617,760 건), 기관, 계획 및 실적 반려정보 등에 대한 기관별, 업체별 구매실적 및 구매계획, G2B 구매실적을 조회할 수 있다.",2013-12-06,2017-11-01,국가환경정보센터,02-2284-1164,"['환경표지구매실적(기관/업체별)조회', '환경표지구매계획(기관/업체별)조회', 'G2B구매실적(기관/업체별)조회']"
영동군 문화재,영동군내의 문화재를 소개하고 정보 제공,2016-08-18,2016-08-23,행정과,043-740-3184,['영동군 문화재 설명 데이터']
경기도 안산시_무료급식소 정보,경기도 안산시 무료급식소 정보를 제공합니다.,2017-05-04,2017-05-10,정보통신과,031-481-2085,[]
경기도 수원시 관광안내소,경기도 수원시 관광안내소(20150630),2015-12-24,2016-02-16,-,031-228-2306,['수원시 관광안내소 정보']
전자공청회조회서비스,전자공청회조회서비스,2011-12-06,2014-07-24,국민신문고과,044-200-7265,"['전자공청회항목조회', '전자공청회목록조회']"
예술용어사전조회서비스,예술용어사전조회서비스,2011-12-03,2013-09-06,-,,"['예술지식용어사전목록조회', '예술지식용어사전상세정보조회']"
원자력발전소 실시간 발전현황,"한국수력원자력에서 운영중인 원자력발전소(고리, 한빛, 월성, 한울)의 실시간 발전소 출력량(원자로 및 발전기 출력량) 조회",2014-07-22,2018-01-23,,,['원자력발전소 실시간 발전현황 조회']
경상남도 거제시 평생학습강좌 안내,"경상남도 거제시 평생학습강좌명, 강사명, 교육시작일자, 종료일자, 강좌내용, 교육장소, 정원수 등 자료 제공",2015-03-16,2017-11-20,,,"['거제시 정보화교육 목록 정보', '거제시 정보화 교육 상세 정보', '거제시 정보화 교육 첨부파일 정보']"
충청남도 착한가격업소 현황,"업종별, 지역별, 기타 상세 정보 등 충남의 착한가격업소 정보 개방",2014-09-23,2016-10-26,,,[]
권역별향토음식점서비스,"전라북도에서 지정한 향토음식을 전문으로하는 전문음식점의 상세한상호,위치,영업시간,메뉴,음식점소개,편의시설,부가정보,이미지 등 정보를 지역별로 조회할 수 있다.",2012-12-06,2017-01-02,,,"['권역별음식점목록조회', '권역별음식점상세보기조회']"
한국남동발전 건설현황,한국남동발전 화력발전소 건설현황에 대한 일체의 데이터입니다.,2016-12-08,2017-01-03,ICT융합부,070-8898-1823,['한국남동발전 건설기술스펙 다운로드 조회']
[상표] 상표 속보-항목별 검색,상표 속보에 대한 항목별 검색 제공,2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['항목별검색 등록번호', '항목별검색 전체검색', '항목별검색 자유 검색', '항목별검색 유사군', '항목별검색 출원번호', '항목별검색 등록권자이름 코드', '항목별검색 국제등록번호', '항목별검색 도형코드', '항목별검색 상품분류', '항목별검색 상표명칭', '항목별검색 대리인이름 코드', '항목별검색 지정상품', '항목별검색 등록일자', '항목별검색 우선권주장일자', '항목별검색 출원일자', '항목별검색 우선권주장번호', '항목별검색 공고번호', '항목별검색 국제등록일자', '항목별검색 출원인이름 코드', '항목별검색 공고일자']"
중부발전 대기오염물질배출 조회서비스,발전소의 대기오염물질 배출현황을 제공하는 서비스입니다.,2017-11-14,2017-11-20,ICT기획부,070-7511-1613,['발전소 대기오염물질배출현황 조회']
병의원·약국정보,"전주시내 병원 및 약국, 휴일,심야 및 응급 의료시설, 당번약국 등",2015-01-07,2018-04-02,자치행정과,063-281-2136,"['병원.약국 정보 목록', '병원.약국 현재위치 거리 정보']"
[특허] 한국특허영문초록-일반 검색,한국특허영문초록(KPA)에 대한 일반 검색 제공,2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['일반검색 이름', '일반검색 자유', '일반검색 번호', '일반검색 단어', 'KPA 일반 검색']"
터미널 코드,터미널 코드를 조회한다.,2014-04-01,2017-09-28,국제물류사업단 정보보안부,051-999-3154,['터미널 코드']
경상남도 거제시 공연행사 현황,"경상남도 거제시 공연행사명, 장소, 행사내용, 행사시작일자, 행사종료일자, 요금정보, 연락처 정보 제공",2015-03-20,2017-11-20,정보통신과,055-639-4073,"['거제시 공연전시 목록정보', '거제시 공연전시 상세정보', '거제시 공연전시 이미지정보']"
기술은행 기술정보 조회 서비스,기술은행(NTB)에서 서비스하는 모든 기술정보를 조회,2017-03-14,2017-10-17,-,02-6009-3991,['기술은행 기술시장정보 및 부가정보 DB 서비스 조회']
경기도 수원시 공연행사정보,"경기도 수원시 공연행사정보(공연내용,장소,일정,요금정보 등)",2016-01-29,2018-01-10,-,031-228-2306,['경기도 수원시 공연행사목록']
경기도 세탁업 현황,경기도 내의 의류 및 기타 섬유제품이나 피혁제품등의 세탁을 주목적으로 하는 업체 현황 정보입니다.,2017-11-16,2017-11-24,빅데이터담당관,031-8008-2895,[]
[상표] 상표 통합이력,"상표 출원심사이력, 등록사항이력, 심판이력 등 행정처리의 이력 정보",2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,['통합이력정보 상표']
경기도 공공체육시설 현황,경기도의 공공체육시설 중 게이트볼 경기장 시설 현황,2018-03-29,2018-04-04,빅데이터담당관,031-8008-2895,[]
발전관련 환경정보,발전관련 대기오염물질 배출농도 및 발전소주변농도,2017-08-30,2017-08-31,미래산업전략부,070-7713-8655,['대기오염물질배출농도']
건물융합정보,건축물 속성자료를 공간자료와 결합하여 공간 기반의 정보 제공,2016-12-01,2017-12-06,국가공간정보센터,044-201-3495,"['GIS건물일반정보WMS조회', 'GIS건물일반정보WFS조회', 'GIS건물집합정보WMS조회', 'GIS건물집합정보WFS조회']"
전국어린이놀이시설안전교육통계정보서비스,"○ 제공내용 : 전국어린이놀이시설의 안전교육통계정보(지역/설치장소별 안전교육통계정보조회, 연도별 안전교육통계정보조회)를 제공한다.
○ 제공시스템 : 어린이 놀이시설안전관리시스템(www.cpf.go.kr)",2013-12-02,2017-11-24,정보통계담당관실,02-2100-3050,"['지역/설치장소별 안전교육통계정보조회', '연도별 안전교육통계정보조회']"
경상남도 거제시 민박펜션 업소 정보 서비스,거제시 민박펜션 업소 정보 서비스,2015-09-01,2017-11-20,정보통신과,055-639-4073,"['민박펜션 업소 상세정보', '민박펜션 업소 목록']"
군산시 음식점 정보,군산시 관내 음식점(맛집) 정보 제공,2014-09-15,2014-09-23,,,[]
서귀포자연휴양림 예약현황,"217종의 난대·온대·한대 수종이 어우러진 자연환경을 가지고 있는 서귀포자연휴양림의 숙박시설인 숲속의집, 산림휴양관 예약현황 안내",2013-12-31,2017-06-05,,,['서귀포자연휴양림 예약현황']
[특허] 특허/실용신안 공보-유틸리티,특허 및 실용신안 공보에 대한 유틸리티 제공,2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['공개일별 출원건수 조회 월별', 'IPC별 출원건수 연도별', '공고일별 출원건수 조회 연도별', '공개일별 출원건수 조회 연도별', '속보서비스', 'IPC코드 조회', '인기검색어 조회', '변동정보', 'IPC별 출원건수 월별', '공고일별 출원건수 조회 월별', '출원일별 출원건수 조회 월별', '출원일별 출원건수 조회 연도별', '등록일별 출원건수 조회 월별', '등록일별 출원건수 조회 연도별', '통계']"
NDSL 통합데이터,"논문, 특허, 보고서, 동향, 표준, 사실정보 등 약 1억 건 이상의 콘텐츠가 포함된 DB",2017-09-06,2017-09-07,정보보호실,042-869-1018,[]
부산광역시 평생학습강좌,부산광역시 평생학습강좌 정보 제공,2015-11-10,2017-08-14,교육협력담당관실,051-888-2011,"['평생 학습 강좌 목록 조회', '평생 학습 강좌 상세 조회']"
경기도 자전거 관련 현황,경기도 내의 공공자전거 운영현황 및 자전거도로 집계 현황 등의 정보를 제공합니다.,2017-11-15,2017-11-21,빅데이터담당관,031-8008-2895,[]
한옥마을 쇼핑센터,한옥마을 내 전통상품 쇼핑상가 안내,2015-02-09,2015-02-16,,,"['한옥마을쇼핑센터 검색 서비스 목록', '한옥마을쇼핑센터 검색 서비스 상세보기', '한옥마을쇼핑센터 검색 서비스 이미지 목록']"
선박제원정보,선박제원정보를 조회한다.,2014-04-01,2017-09-28,국제물류사업단 정보보안부,051-999-3154,['선박제VsslData원정보']
우편번호 정보,"우정사업본부에서는 새우편번호 정보를 조회하는 기능의 오픈API 서비스를 제공합니다.

- 도로명주소와 지번주소에 해당하는 새우편번호 정보를 제공합니다.
- 도로명/지번/건물명 등을 통해 해당주소의 새우편번호 정보를 제공합니다.",2016-07-14,2018-03-26,우정사업정보센터 인터넷우체국팀,061-0338-2227,['집배구 구분코드 조회서비스']
[특허] 해외특허 공보-유틸리티,해외특허(미국/유럽/PCT)에 대한 유틸리티 제공,2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['자료축적현황', 'IPC코드', '해외특허 기능', '등록일별 기준의 연도별 출원건수', '출원일별 기준의 월별 출원건수', 'F-TERM 코드', '등록일별 기준의 월별 출원건수', 'FI코드', '공개일별 기준의 월별 출원건수', 'UPC코드', '공고일별 기준의 월별 출원건수', '인기검색어', '출원일별 기준의 연도별 출원건수', '공개일별 기준의 연도별 출원건수', 'EPC코드', '공고일별 기준의 연도별 출원건수', '문헌번호 조회']"
전국어린이놀이시설안전사고정보서비스,"○ 제공내용 : 전국어린이놀이시설의 안전사고정보(사고내용, 조치사항, 사고원인코드, 사고원인코드명)를 제공한다.
○ 제공시스템 : 어린이 놀이시설안전관리시스템(www.cpf.go.kr)",2013-12-02,2017-11-24,정보통계담당관실,02-2100-3050,['안전사고정보조회']
타이어 에너지소비효율등급 정보,국내에서 제조 또는 수입하여 판매되거나 자동차에 장착되어 판매되는 타이어를 회전저항과 젖은 노면제동력에 따라 각각 1~5등급으로 구분하여 제공하고 소비자들이 고품질 타이어를 쉽게 구별하여 구입할 수 있도록 도모합니다.,2017-04-26,2017-05-02,통계분석실,031-260-4566,[]
서울특별시 관악구_음식점 현황,서울특별시 관악구 관내 음식점 관련 정보 제공,2017-03-16,2017-03-20,,,[]
특허청 [심판] 심판사항,"1. 개요
국내 특허의 거절불복심판, 침해 소송 등에 대한 심판결문 정보를 API(REST방식)로 제공합니다.

2. 세부 정보 내용
① 검색: 일반검색 및 항목별검색 기능(XML)
② 서지데이터: 관련심판번호, 청구대리인, 지정분류코드, 청구인, 심판이력사항 등(XML)
③ 부가기능: 통계, 인기 검색어로 조회기능, 갱신정보(XML)
④ 심판(결)문: 심판(결)문, 경정결정문 등(다운로드 경로)

3. 데이터 문의 및 이용 상담
한국특허정보원 IP정보활용지원센터
T) 02-6915-1423, E-mail) rawdata@kipi.or.kr, Web)http://plus.kipris.or.kr",2014-12-04,2017-01-20,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['일반검색(단어)', '항목별검색(전체검색)', '서지상세정보', '심판(결)문', '변동정보']"
토지피복지도,활용 영상 정보 피복속성정보 좌표 및 투영법 식별정보 품질정보,2017-03-07,2017-03-07,정보화담당관실,044-201-6642,[]
경기도 공장등록 현황,"경기도에 등록된 상세 공장등록 목록 현황. 단지명, 회사명, 입주형태 등 정보를 제공",2015-10-27,2015-10-28,빅데이터담당관,031-8008-2895,['공장등록 현황(2015)']
통합화물 신고정보(하선신고),통합화물 신고정보를 조회한다.,2014-04-01,2017-09-28,국제물류사업단 정보보안부,051-999-3154,['통합화물 신고정보(하선신고)']
고성군 음식점 정보,고성군 음식점 정보,2014-10-20,2014-12-29,,,['고성군 음식점 정보']
로마자표기법단일조회,"국립국어원에서 제공하는 표준국어정보 중 로마자 표기법, 로마자 표기방법 약 12,803건의 데이터에 대해 목록과 상세 내용을 조회할 수 있다.",2013-11-21,2017-11-17,언어정보과,02-2669-9759,"['로마자표기법 목록조회', '로마자표기법 단일조회']"
서울특별시 관악구_공중위생업소 현황,서울특별시 관악구 공중위생업소의 신고현황 정보,2017-04-21,2017-04-25,홍보전산과,02-879-5281,[]
컨테이너 상태정보,부두정보를 조회한다.,2014-04-01,2017-09-28,국제물류사업단 정보보안부,051-999-3154,['컨테이너 상태정보']
기상특보정보조회서비스,"생활기상정보에 기상특보정보 중 기상특보통보문,기상정보문,기상속보,기상예비특보, 특보코드,특보현황,기상특보목록,기상정보목록,기상속보목록,기상예비특보목록 정보를 조회하는 서비스입니다.",2013-01-06,2017-09-12,정보통신기술과,,"['기상특보통보문조회', '기상정보문조회', '기상속보조회', '기상예비특보조회', '특보코드조회', '특보현황조회', '기상특보목록조회', '기상정보목록조회', '기상속보목록조회', '기상예비특보목록조회']"
[특허] 해외특허 공보-항목별 검색,"해외특허(미국, 유럽, PCT)에 대한 항목별 검색 제공",2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['항목별검색 USCD', '항목별검색 ForeignRef 번호', '항목별검색 EPC', '해외특허 항목별 검색', '해외특허 항목별 검색', '항목별검색 우선권일자', '항목별검색 IPC', '항목별검색 초록정보', '항목별검색 필드', '항목별검색 국제출원일자', '해외특허 항목별 검색', '항목별검색 우선권번호', '항목별검색 등록일자', '항목별검색 공개일자', '항목별검색 출원인', '항목별검색 국제출원번호', '항목별검색 발명자의명칭', '항목별검색 FI', '항목별검색 Relation US Search', '항목별검색 항목별검색상세', '항목별검색 F Term', '항목별검색 국제공개번호', '항목별검색 자유검색', '항목별검색 청구범위', '항목별검색 출원일자', '항목별검색 출원번호', '해외특허 항목별 검색', '항목별검색 US Patent Document', '항목별검색 대리인', '항목별검색 공개번호', '항목별검색 발명자', '항목별검색 전체검색', '항목별검색 등록번호']"
연산도서관 도서보유현황,연산도서관 보유 자료정보 제공,2014-04-19,2016-06-02,자료봉사과,051-792-5424,[]
[상표] 상표 속보-서지,상표 속보에 대한 서지사항 제공,2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['행정처분사항 번호', '대리인', '지정상품정보', '상품분류 정보', '변경 정보의 서지요약정보 제공', '비엔나도형분류코드정보', '출원인', '우선권 주장 번호', '원출원번호정보', '서지 요약 정보', '변경 상표정보의 출원번호 제공', '서지 상세 정보', '유사군정보', '관련출원번호정보']"
경기도 관광지 및 관광정보 관련 현황,"경기도 내의 관광지, 시티투어 운영정보등의 정보 현황입니다.",2018-04-04,2018-04-06,빅데이터담당관,031-8008-2895,[]
경기도 가축 관련업 현황,"경기도 가축 거래상, 가축 사육업,종계업, 가축 인공 수정소, 도축장, 집유장등 가축 관련업체 현황입니다.",2018-01-23,2018-01-24,빅데이터담당관,031-8008-2895,[]
한국민속신앙사전서비스,"한국민속신앙사전의 분야별 표제어의 목록과 표제어 상세정보를 조회하기 위한 서비스로서, 무속·마을·가정신앙의 분야별로 표제어목록을 조회 할 수 있으며, 표제어별 주요정보·컨텐츠목록·참고문헌목록·사진목록·음원목록을 제공한다.",2012-12-06,2016-06-10,,,"['한국민속신앙사전무속신앙목록조회', '한국민속신앙사전마을신앙목록조회', '한국민속신앙사전가정신앙목록조회', '한국민속신앙사전표제어주요정보조회', '한국민속신앙사전표제어컨텐츠목록조회', '한국민속신앙사전표제어참고문헌목록조회', '한국민속신앙사전표제어사진목록조회', '한국민속신앙사전표제어음원목록조회']"
공공안내그림표지,"ISO 국제표준을 부합화한 KS S ISO 7001 공공안내시설, KS S ISO 7010 안전그래픽, KS S ISO 20712-1 수상안전 표준을 기준으로 산업분야에서 활용할 수 있는 공공안내그래픽심볼 가이드",2013-12-03,2014-03-20,정보관리담당관,,[]
경기도 비영리 단체 현황,"경기도 내의 시군별 비영리민간단체에 대한 기관명, 단체명, 사업내용 등의 현황입니다. 비영리 민간단체란 소유주나 주주를 위해서 자본의 이익을 추구하지 않는 단체입니다",2017-12-14,2017-12-14,빅데이터담당관,031-8008-2895,[]
부산중앙도서관 도서보유현황,공공도서관 보유 서지정보,2014-02-27,2014-07-31,자료봉사과,051-250-0308,[]
이천시 착한가격업소 현황,이천시 착한가격업소 현황,2016-06-28,2017-06-28,정보통신과,031-644-2946,['이천시 맛집현황자료']
부산전자도서관 도서보유현황,부산전자도서관 소장 서지 정보 제공,2014-04-25,2016-05-28,,,[]
판례정보,국가법령정보센터에서 제공하는 판례에 대한 정보로 실시간 openapi 방식으로 제공,2014-03-19,2014-04-15,법제정보과,044-200-6786,[]
경기도 의료기기 관련업체 현황,"경기도 내의 의료기기 판매(임대), 치과기공소, 의료기기수리 등의 업체에 관한 현황 정보입니다.",2017-10-19,2017-10-31,빅데이터담당관,031-8008-2895,[]
경기도 주택 보급률 및 가격 동향정보 현황,"경기도내 분양승인된 주택중 미분양이 발생한 단지, 주택 보급률, 신규아파트 분양가격 등의 현황 정보를 제공합니다.",2018-04-12,2018-04-17,빅데이터담당관,031-8008-2895,[]
대규모점포 현황,"등록된 대규모점포 정보로 상호, 대표자, 연락처, 운영상태 등",2014-06-13,2014-08-26,전산정보과,02-330-8961,[]
국제기구 공석정보,"(국제기구공석정보) 외교부에서 구축하여 보유하고 있는 국제기구 채용정보(국제기구 채용, 국제기구인사센터 소개 등), 국제기구진출설명회/국제기구 진출 한국인 초청 간담회(동영상 자료, PPT 자료 등), 유엔 공석정보(최근 공석정보, 기구별 공석정보, 분야별 공석정보 등), 기타 공석정보(JPO/UNV/인턴십) 등 국민이 쉽게 제공받아 활용할 수 있도록 표준화 방식으로 개방한 공유 서비스",2016-01-06,2017-10-24,유엔과,,['분야별 공석정보 목록조회']
발전실적조회 서비스,중부발전 발전소의 월별 발전실적을 제공하는 서비스 입니다.,2017-11-14,2017-11-20,ICT기획부,070-7511-1613,['발전소 월별 발전실적 조회']
[특허] 해외특허 공보-서지,해외특허(미국/유럽/PCT)에 대한 서지사항 제공,2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['발명자', 'Relation출원', '해외특허문헌', '국제출원 공개 번호 일자', '대리인', 'IPC', '초록', '서지요약정보', '출원인', '해외 서지', '우선권번호 일자', '', '미국특허문헌', 'Other Publication', 'DOC 패밀리', '공개 공고번호', 'Theme코드 일본', 'ECLA', 'IPC버전', 'Relation출원상세', '청구항', '심사관', '서지상세정보', '공개번호', '지정국', 'F-Term 일본', 'FI 일본', 'Field of Search', 'USCD']"
전남의 아름다운 영상DB,전라남도의 아름다운 풍경 동영상,2014-12-24,2014-12-24,정보화담당관실,061-286-2722,"['남도축제 영상목록', '남도축제 영상 정보']"
시험인정현황,시험기관 인정 업무처리 관련 목록,2014-03-21,2014-03-31,,,[]
광명시 CCTV 정보,광명시내에 설치된 CCTV 정보 현황,2016-06-20,2016-06-20,정보통신과,02-2680-6301,['광명시 CCTV 정보']
대학강의정보,대학강의정보,2014-08-08,2017-06-13,학술정보부,053-714-0320,[]
공공기관조회서비스,공공기관조회서비스,2014-09-24,2014-09-24,정보통신과,054-270-2293,"['주민센터 목록 조회', '치안센터 목록 조회', '소방방제센터 목록 조회']"
산불위험예보정보,"전국 행정구역별(광역시도, 시군구) 실시간 산불위험지수와 48시간 산불위험예보지수 제공",2015-12-04,2017-01-26,정보통계담당관실,042-481-8899,['산불위험지수 검색']
학술지정보제공기관조회서비스,"학술지 소장기관, 소장기관별 학술지·등재지 목록, DDC별 학술지 목록, 한국과학기술분류별 학술지 목록 정보를 조회한다.",2013-11-22,2016-06-13,정보보호실,042-869-1018,"['기관별 소장학술지 정보 조회', '기관별 DDC별 학술지 정보 조회', '기관별 주제분야별 학술지정보 조회', '학술지정보 제공기관 정보 조회']"
대구 관광지,대구관광지 정보 제공,2018-03-30,2018-04-05,,,['대구관광지 목록']
전국어린이놀이시설행정처분통계정보서비스,"○ 제공내용 : 전국어린이놀이시설의 행정처분통계정보를 제공한다.
○ 제공시스템 : 어린이 놀이시설안전관리시스템(www.cpf.go.kr)",2013-12-02,2017-11-24,정보통계담당관실,02-2100-3050,['행정처분통계정보조회']
임산물DB백과(임업진흥원),"국내 임산물에 대한 종류, 분포, 식물학적 특성, 용도, 효능 등의 정보 제공",2014-05-26,2018-04-18,정보통계담당관실,042-481-8899,[]
전주음식,전주시내 음식점 정보를 음식종류별로 분류하여 소개,2015-02-09,2017-11-01,자치행정과,063-281-2136,"['전주음식 이미지목록', '백반집목록', '전주비빔밥목록', '콩나물국밥집 목록', '한정식목록', '막걸리집 목록', '한옥마을 맛집 목록']"
[디자인] 디자인 통합이력,"디자인 출원심사이력, 등록사항이력, 심판이력 등 행정처리의 이력 정보",2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,['통합이력정보 디자인']
전북향토음식서비스,"전라북도의 향토음식에 대한 간략한음식이름, 지역, 간략한설명, 이미지 등 정보 및 상세한음식이름, 상세한설명 및 만드는법, 특성, 관련음식점, 솜씨보유자, 칼로리, 참고문헌, 이미지 등 정보를 조회할 수 있다.",2012-12-06,2017-01-02,,,"['전북향토음식목록조회', '전북향토음식상세보기조회']"
순천시 버스정보 DB,버스에 설치한 위성항법장치와 무선통신망을 이용하여 버스의 운행상태를 실시간 제공,2014-07-22,2015-02-12,-,061-749-3366,[]
이천시 물가동향,이천시 주요 유통업체별 생활물가동향,2016-06-28,2017-06-28,정보통신과,031-644-2946,['이천시 물가동향자료']
모범음식점정보 조회 서비스,제주도 도내의 모범음식점 정보를 실시간으로 제공한다,2014-10-28,2017-12-01,,,"['모범음식점 리스트 조회', '모범음식점 상세 조회', '모범음식점 첨부 파일 조회']"
부산광역시 도시공원정보,부산광역시 도시공원 정보 제공,2016-01-21,2017-11-15,공원운영과,051-888-3795,"['도시공원 정보 목록 조회', '도시공원 정보 상세 조회']"
[심판] 심판사항-항목별 검색,심판사항에 대한 항목별 검색 제공,2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['항목별검색 사건의 표시', '항목별검색 자유검색', '항목별검색 출원번호', '항목별검색 피청구대리인', '항목별검색 청구대리인', '항목별검색 명칭', '항목별검색 전체검색', '항목별검색 등록번호', '항목별검색 청구인', '항목별검색 심결일자', '항목별검색 심판종류', '항목별검색 피청구인', '항목별검색 심판번호숫자', '항목별검색 심판청구일자', '항목별검색 심판번호문자']"
[특허] 한국특허영문초록-서지,한국특허영문초록(KPA)에 대한 서지사항 제공,2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['서지정보 인용문헌', '서지정보 발명자', '서지정보 IPC', '서지정보 행정처리', '서지정보 초록', '서지요약정보', '서지정보 출원인', '서지정보 우선권정보', 'KPA 서지정보', '서지상세정보']"
경기도 위탁급식영업 현황,집단급식소를 설치 및 운영하는 자와의 계약에 따라 그 집단급식소에서 음식류를 조리하여 제공하는 업체(소),2017-11-16,2017-11-23,빅데이터담당관,031-8008-2895,[]
현행법령정보,국가법령정보센터에서 제공하는 현행법령에 대한 정보로 실시간 OpenAPI 방식으로 제공,2014-03-18,2014-04-15,법제정보과,044-200-6786,[]
자가진단 소재지정보,환경영향평가 자가진단을 위한 소재지 중심의 사전 사업지 정보 및 환경영향평가서 정보조회서비스를 제공한다.,2017-01-04,2017-10-30,,,"['사전환경검토서_사전 사업지 정보를 조회', '자가진단 소재지정보(법정동, 행정동) 관리', '환경영향평가서 정보를 조회한다']"
생태자연도,생태자연도 등급식생대분류명 식생군락명 식생보전등급고시번호 등,2017-05-23,2017-05-24,자연정책과,044-201-7237,[]
[상표] 상표 속보-일반 검색,상표 속보에 대한 일반 검색 제공,2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['일반검색 번호', '일반검색 단어']"
전주시 공원 정보,전주시내 공원 위치 및 기본정보 수록,2015-02-24,2018-01-29,자치행정과,063-281-2136,"['공원정보 검색 서비스 목록', '공원정보 검색 서비스 상세보기']"
